"TeamID","Nombre del Equipo","Rango","uId","Nombre del Jugador","Salud","Número de Bajas","Daño","Máxima Distancia de Baja","Asistencias","Noqueos","Número de Headshots","Daño Recibido","Curación","Tiempo de Supervivencia","Tiempo Fuera del Círculo Azul","Daño Total por Veneno","Bajas en Vehículo","Bajas con Granada","Distancia Conducida","Distancia Recorrida","Rescates","Granadas de Humo Usadas","Granadas Fragmentación Usadas","Granadas Incendiarias Usadas","Granadas Cegadoras Usadas","Suministros Obtenidos","Daño Total por Equipo"
4,CANADA WEST,1,5119869770,FGxENFOLD,87,5,626,132,0,2,2,36,24,21m 5s,0m 0s,0,0,0,1350,3901,0,1,1,1,1,0,2472
4,CANADA WEST,1,5204630973,FGxDRANGOO,92,8,1053,174,0,4,2,66,89,21m 0s,0m 0s,8,0,0,1411,4556,1,0,2,0,0,1,2472
4,CANADA WEST,1,5786641758,FGxONeHIT,10,4,793,167,1,5,2,240,130,21m 3s,0m 3s,48,0,0,1598,3017,0,0,0,0,0,0,2472
4,CANADA WEST,1,5129309713,FGxVICIOUSS,100,0,0,0,0,0,0,197,0,7m 48s,0m 0s,0,0,0,2667,1290,0,0,0,0,0,0,2472
18,ELMHURST,2,5167590205,VKSdellûsioñ,0,0,87,0,0,1,0,117,17,20m 56s,0m 0s,0,0,0,939,2517,0,0,0,0,0,0,296
18,ELMHURST,2,5999208793,VKSrooKieduu,0,0,186,0,0,1,0,248,51,16m 55s,0m 0s,0,0,0,212,2334,0,0,0,0,0,1,296
18,ELMHURST,2,5620027334,VKSjunkey,0,0,0,0,0,0,0,197,0,13m 11s,0m 0s,0,0,0,707,1771,0,0,0,0,0,0,296
18,ELMHURST,2,5175180093,VKSluchi,0,0,23,0,0,0,0,195,0,13m 0s,0m 0s,0,0,0,0,2301,0,0,0,0,0,0,296
12,ST. CLAIR,3,5192362280,mmFallen,0,2,226,114,1,1,0,0,65,20m 41s,0m 11s,170,0,0,373,4169,0,0,0,0,0,0,529
12,ST. CLAIR,3,51000013257,mmHAWK,0,1,123,233,0,1,1,197,0,15m 44s,0m 0s,0,0,0,0,3901,0,0,0,0,0,0,529
12,ST. CLAIR,3,51365369616,mmJELLY,0,0,180,0,0,1,0,0,0,15m 26s,0m 51s,150,0,0,0,3515,0,0,0,0,0,0,529
12,ST. CLAIR,3,557334029,mmSTARLIGHT,0,0,0,0,0,0,0,198,0,2m 34s,0m 0s,0,0,0,1105,375,0,0,0,0,0,0,529
8,VICTORIA,4,5962650460,hznHIM,0,2,662,130,0,3,0,175,105,19m 55s,0m 4s,38,0,0,2026,2329,0,0,2,1,0,0,896
8,VICTORIA,4,52148159301,hznHope,0,0,93,0,0,1,0,143,81,17m 48s,0m 13s,70,0,0,1944,2018,0,1,2,0,0,0,896
8,VICTORIA,4,51401957907,hznTIZ1,0,1,141,117,0,1,0,302,111,14m 59s,0m 0s,0,0,0,2953,1787,1,0,1,0,0,0,896
8,VICTORIA,4,51851703852,hznToxic99,0,0,0,0,0,0,0,181,0,1m 18s,0m 0s,0,0,0,0,171,0,0,0,0,0,0,896
16,RED RIVER,5,51501375897,rrclabour,0,0,249,0,0,2,0,273,357,18m 52s,4m 59s,226,0,0,3754,2837,0,2,4,0,0,0,926
16,RED RIVER,5,52019475313,rrcMANAGEMENT,0,1,336,110,1,1,0,247,364,16m 21s,4m 53s,237,0,0,3348,2365,1,0,1,0,0,0,926
16,RED RIVER,5,51820667083,rrcMECHANIC,0,0,21,0,1,0,0,193,236,14m 48s,4m 52s,240,0,0,3692,2261,2,1,0,0,0,0,926
16,RED RIVER,5,5711081303,rrcHDEM,0,2,320,91,0,3,0,132,194,12m 42s,5m 0s,257,0,0,4226,1488,0,0,0,0,0,0,926
11,KENT STATE,6,5211194953,R2DxTHOR,0,1,245,159,2,1,0,247,209,16m 57s,0m 21s,36,0,0,5430,1227,2,0,0,0,0,0,1175
11,KENT STATE,6,51230355420,R2DxNINJAop,0,3,168,57,2,2,1,163,114,16m 48s,1m 23s,83,0,0,3928,1809,0,3,0,0,0,0,1175
11,KENT STATE,6,5484235848,R2DxRUTHLeSS,0,0,58,0,1,0,0,265,184,17m 2s,0m 24s,29,0,0,3393,2066,0,3,0,0,0,0,1175
11,KENT STATE,6,5737152278,R2DxJason,0,5,704,173,3,6,4,411,261,16m 49s,1m 22s,88,0,0,3088,1632,1,2,0,0,0,0,1175
13,ALGOMA,7,5302412833,oxyJONATHAN,0,1,224,24,0,1,0,278,283,17m 22s,2m 16s,102,0,1,4122,2206,0,4,3,1,0,0,655
13,ALGOMA,7,5642896536,oxyGOBLIN,0,1,236,81,0,1,1,210,115,17m 8s,2m 15s,101,0,0,3667,1823,1,0,0,0,0,0,655
13,ALGOMA,7,5122674005,oxyGURJAR,0,0,79,0,0,1,0,195,99,16m 28s,2m 12s,99,0,0,2731,1896,0,0,0,0,0,0,655
13,ALGOMA,7,513304128,oxySPOWER,0,0,116,0,0,0,0,187,0,2m 11s,0m 0s,0,0,0,0,415,0,0,0,0,0,0,655
9,ARKANSAS STATE,8,5391813845,CSyychauchau,0,3,526,161,3,2,2,176,118,17m 1s,0m 1s,20,0,0,3550,1675,0,1,1,0,0,0,1518
9,ARKANSAS STATE,8,5491206967,CSdelulu,0,2,676,184,2,3,1,343,233,17m 4s,0m 0s,0,0,0,1648,1524,1,0,0,0,0,0,1518
9,ARKANSAS STATE,8,5701795437,CSokaybutwhy,0,2,265,338,2,0,0,207,17,16m 54s,0m 0s,0,0,0,1765,1689,1,0,2,0,0,0,1518
9,ARKANSAS STATE,8,5343743089,CSgreenūū,0,0,51,0,0,0,0,236,40,5m 24s,0m 0s,0,0,0,0,864,0,0,0,0,0,0,1518
10,NIAGARA,9,5239255708,NHnSanDySIR,0,0,99,0,0,0,0,105,171,15m 39s,0m 40s,167,0,0,4575,1239,0,0,0,0,0,0,158
10,NIAGARA,9,5520487313,NHnVele,0,0,41,0,0,0,0,236,168,15m 33s,0m 27s,96,0,0,4935,1276,0,1,0,0,0,0,158
10,NIAGARA,9,51458090001,NHnMafiaSir,0,0,18,0,0,0,0,220,130,15m 36s,0m 30s,105,0,0,5130,1539,0,0,0,0,0,0,158
10,NIAGARA,9,5168644915,NHnRevenžer,0,0,0,0,0,0,0,191,0,3m 5s,0m 0s,0,0,0,406,464,0,0,0,0,0,0,158
14,MIDDLESEX COUNTY,10,578726132,mYmīKrish,0,2,404,132,1,2,0,102,167,16m 2s,0m 50s,165,0,0,0,2499,0,0,1,0,0,0,830
14,MIDDLESEX COUNTY,10,51596481238,mYmīPashaBAE,0,0,37,0,0,0,0,410,131,15m 8s,0m 0s,0,0,0,1722,2259,0,1,0,1,0,0,830
14,MIDDLESEX COUNTY,10,5395151453,mYmīBURPY,0,2,204,6,0,1,0,250,52,13m 54s,0m 0s,0,0,0,1409,2286,1,0,2,0,1,0,830
14,MIDDLESEX COUNTY,10,5338164941,mYmĪLEXUS,0,1,185,2,0,1,1,181,0,1m 52s,0m 0s,0,0,0,0,234,0,0,0,0,0,0,830
3,SENECA,11,61928520966,entityHuNTeR,0,0,234,0,0,1,0,100,0,13m 28s,0m 0s,0,0,0,0,740,1,0,0,0,0,0,504
3,SENECA,11,51930276599,entityNeXusOp,0,0,103,0,1,0,0,175,65,13m 26s,0m 0s,0,0,0,0,1037,0,0,2,0,0,0,504
3,SENECA,11,51858463424,entityACEop,0,0,89,0,1,0,0,192,0,1m 34s,0m 0s,0,0,0,0,90,0,0,0,0,0,0,504
3,SENECA,11,5500811234,entityPSYCHOOO,0,1,78,0,0,1,1,197,0,1m 31s,0m 0s,0,0,0,0,78,0,0,0,0,0,0,504
6,ST. CLAIR,12,51459361485,STGxGUNDA,0,0,0,0,0,0,0,59,269,10m 51s,6m 33s,309,0,0,1185,2629,0,0,0,0,0,0,0
6,ST. CLAIR,12,51800932898,STGxSRAN,0,0,0,0,0,0,0,47,261,10m 56s,6m 37s,314,0,0,2874,2553,0,0,0,0,0,0,0
6,ST. CLAIR,12,51927974692,STGxSILENt,0,0,0,0,0,0,0,53,267,10m 55s,6m 42s,315,0,0,2809,2379,0,0,0,0,0,0,0
6,ST. CLAIR,12,51790466255,STGxToxicMAHAL,0,0,0,0,0,0,0,65,280,10m 57s,6m 42s,316,0,0,2661,2035,0,0,0,0,0,0,0
15,ALABAMA,13,5733386408,supYum,0,1,196,7,0,1,1,135,41,8m 32s,0m 0s,0,0,0,2564,823,0,0,0,0,0,0,266
15,ALABAMA,13,5792314147,supHoxy,0,0,70,0,1,0,0,168,0,8m 18s,0m 0s,0,0,0,2793,1067,0,0,0,0,0,0,266
15,ALABAMA,13,52070861131,supTai,0,0,0,0,0,0,0,194,0,7m 30s,0m 0s,0,0,0,1026,1218,0,0,0,0,0,0,266
17,NORTHERN ARIZONA,14,570104103,FSxHarley,0,0,0,0,0,0,0,151,122,6m 57s,0m 55s,33,0,0,2265,837,0,0,0,0,0,0,495
