"TeamID","Nombre del Equipo","Rango","uId","Nombre del Jugador","Salud","Número de Bajas","Daño","Máxima Distancia de Baja","Asistencias","Noqueos","Número de Headshots","Daño Recibido","Curación","Tiempo de Supervivencia","Tiempo Fuera del Círculo Azul","Daño Total por Veneno","Bajas en Vehículo","Bajas con Granada","Distancia Conducida","Distancia Recorrida","Rescates","Granadas de Humo Usadas","Granadas Fragmentación Usadas","Granadas Incendiarias Usadas","Granadas Cegadoras Usadas","Suministros Obtenidos","Daño Total por Equipo"
6,SENECA (A),1,569819071,ZnGPunk,75,2,465,216,1,1,0,337,365,28m 46s,0m 52s,63,0,0,8260,2388,0,5,0,1,0,0,2373
6,SENECA (A),1,5307780671,ZnGFury,75,4,915,168,1,7,2,345,344,28m 47s,0m 1s,18,0,1,8951,2084,1,1,4,1,0,0,2373
6,SENECA (A),1,5993606908,ZnGJesterX,35,4,601,152,2,1,1,209,144,28m 53s,0m 0s,0,0,0,7268,2438,1,3,2,2,0,0,2373
6,SENECA (A),1,5777220863,ZnGCipherzxy21,100,0,392,0,1,3,0,283,131,27m 55s,0m 22s,55,0,0,6883,2736,0,3,1,0,0,0,2373
9,MIDDLESEX COUNTY,2,5105162305,4KxNOBI,0,4,980,214,1,6,0,464,457,27m 49s,1m 59s,87,0,0,4314,2659,0,3,5,0,0,0,3081
9,MIDDLESEX COUNTY,2,5304155522,4KxSPEAR,0,6,1059,124,0,4,4,310,283,27m 48s,1m 28s,142,1,0,8745,2629,0,3,0,0,0,0,3081
9,MIDDLESEX COUNTY,2,5184875975,4KxAlpacino,0,1,346,160,0,0,1,247,182,27m 18s,1m 43s,127,0,0,6088,2202,1,4,1,1,0,0,3081
9,MIDDLESEX COUNTY,2,5108661750,4KxGhost,0,2,696,67,3,2,2,198,155,26m 17s,2m 4s,91,0,0,6131,2401,2,6,1,0,0,0,3081
10,SOUTHEASTERN LOUISIANA,3,5413602764,H٭・NOMERCY,0,0,340,0,1,2,0,317,217,27m 40s,0m 0s,0,0,0,2178,3000,2,4,4,0,0,0,1887
10,SOUTHEASTERN LOUISIANA,3,5231181629,ＳＡＨＵŲ,0,2,463,254,1,2,1,627,395,26m 12s,0m 3s,24,0,0,3733,2760,1,4,6,3,0,0,1887
10,SOUTHEASTERN LOUISIANA,3,5251339892,H٭GODLESS,0,3,805,109,0,5,1,465,270,24m 25s,0m 0s,0,0,0,3805,2386,1,2,0,0,0,0,1887
10,SOUTHEASTERN LOUISIANA,3,5423468662,SŪPŪYŪDŪY,0,0,279,0,1,2,0,309,106,17m 29s,0m 0s,0,0,0,2545,2147,0,0,0,0,0,0,1887
16,ITSV,4,5834819084,ㅤgaJeremy,0,2,358,185,1,1,1,225,203,26m 25s,0m 5s,88,0,0,2820,2517,1,2,1,0,0,0,513
16,ITSV,4,5329848622,gaKAAIL,0,2,31,345,0,0,0,307,275,24m 28s,0m 8s,168,0,0,696,2489,1,0,1,0,0,0,513
16,ITSV,4,5203882505,gaRALO,0,0,80,0,0,0,0,301,137,24m 28s,0m 5s,40,0,0,2059,2802,1,2,1,0,0,0,513
16,ITSV,4,563936593,gaHumble,0,0,44,0,0,0,0,249,86,24m 22s,0m 5s,40,0,0,562,2932,2,2,0,0,0,0,513
8,BAUP (B),5,555897726,ＴＴ×Zikey,0,2,486,22,1,2,1,320,252,25m 10s,0m 2s,20,1,0,3498,2772,2,6,5,2,0,0,1257
8,BAUP (B),5,51227215603,ūūPūC,0,3,494,123,1,3,3,402,287,21m 46s,0m 9s,40,0,0,3241,2111,0,4,1,0,0,0,1257
8,BAUP (B),5,510546165,Angū99y,0,2,277,96,1,1,0,161,51,19m 9s,0m 13s,70,0,0,3949,2102,0,0,1,0,0,0,1257
8,BAUP (B),5,5156301843,egoZenn,0,0,0,0,0,0,0,196,0,5m 14s,0m 0s,0,0,0,2340,542,0,0,0,0,0,0,1257
11,CANADA WEST,6,51246898567,4EverـSaibot,0,2,763,164,0,3,2,100,15,23m 42s,0m 5s,15,0,0,4492,2651,0,2,1,0,0,0,1083
11,CANADA WEST,6,514427810,4EverـForestt,0,1,37,189,0,1,0,253,147,17m 16s,0m 8s,39,0,0,5103,1815,0,1,1,0,0,0,1083
11,CANADA WEST,6,51215275605,4EverـCookie,0,0,198,0,1,0,0,265,98,17m 18s,0m 0s,0,0,0,5142,1814,2,4,2,0,0,0,1083
11,CANADA WEST,6,51357827377,4EverـRizzz,0,1,85,10,0,1,0,335,129,15m 36s,0m 0s,0,0,0,3755,2460,0,0,0,0,0,0,1083
7,ALGOMA,7,52167776946,DRXxWUAN,0,1,229,137,1,2,1,214,314,21m 26s,4m 12s,200,0,0,5139,2120,1,4,2,0,0,0,619
7,ALGOMA,7,52252858556,DRXxJD,0,0,213,0,1,0,0,212,290,21m 25s,3m 57s,186,0,0,6432,1486,0,3,0,0,0,0,619
7,ALGOMA,7,51864149323,DRXxLEVI,0,1,177,24,0,1,0,197,199,17m 40s,4m 8s,197,0,1,5480,2133,0,0,2,0,0,0,619
3,COQUITLAM,8,5530063742,AEShikari,0,1,365,3,0,2,0,148,48,21m 9s,0m 0s,0,0,0,5004,1748,0,2,5,1,0,0,612
3,COQUITLAM,8,51507682748,AEYungBoii,0,1,247,8,0,2,1,233,48,17m 35s,0m 3s,12,0,0,4561,1907,0,3,0,0,0,0,612
