"TeamID","Nombre del Equipo","Rango","uId","Nombre del Jugador","Salud","Número de Bajas","Daño","Máxima Distancia de Baja","Asistencias","Noqueos","Número de Headshots","Daño Recibido","Curación","Tiempo de Supervivencia","Tiempo Fuera del Círculo Azul","Daño Total por Veneno","Bajas en Vehículo","Bajas con Granada","Distancia Conducida","Distancia Recorrida","Rescates","Granadas de Humo Usadas","Granadas Fragmentación Usadas","Granadas Incendiarias Usadas","Granadas Cegadoras Usadas","Suministros Obtenidos","Daño Total por Equipo"
11,KENT STATE,1,5211194953,R2DxTHOR,75,5,830,256,5,3,0,414,600,27m 43s,2m 34s,262,0,1,6162,2989,2,5,9,2,1,0,3024
11,KENT STATE,1,5737152278,R2DxJason,100,4,737,74,5,3,1,396,484,26m 43s,4m 41s,240,0,1,6279,2780,0,1,3,1,0,0,3024
11,KENT STATE,1,51230355420,R2DxNINJAop,83,6,932,78,3,4,2,687,659,26m 43s,3m 26s,185,0,0,8954,2365,4,2,3,0,0,0,3024
11,KENT STATE,1,5484235848,R2DxRUTHLeSS,0,4,525,114,2,2,0,637,490,26m 57s,5m 5s,258,0,1,10099,2510,1,10,7,1,0,0,3024
7,VANCOUVER CC,2,5162313469,AMGxSINNER,0,0,198,0,2,0,0,214,65,27m 7s,0m 0s,0,0,0,1784,2537,0,2,0,0,0,0,1393
7,VANCOUVER CC,2,579777070,AMGxDefender,0,1,485,9,1,3,0,272,78,26m 59s,0m 0s,0,0,0,845,2740,0,2,0,0,0,0,1393
7,VANCOUVER CC,2,5419937355,AMGxG0D,0,2,479,157,0,3,1,478,117,26m 5s,0m 0s,0,0,0,529,3163,0,0,4,0,0,0,1393
7,VANCOUVER CC,2,51859584757,AMGxNMBRDAR,0,0,231,0,1,0,0,553,166,24m 29s,0m 0s,0,0,0,3431,2520,0,2,1,0,0,0,1393
12,ST. CLAIR,3,5192362280,mmFallen,0,3,402,46,0,3,0,286,186,22m 28s,0m 0s,0,0,0,5260,1584,1,5,1,0,0,0,733
12,ST. CLAIR,3,51000013257,mmHAWK,0,0,261,0,0,2,0,238,73,22m 28s,0m 0s,0,0,0,5419,1612,0,3,2,0,0,0,733
12,ST. CLAIR,3,51365369616,mmJELLY,0,0,24,0,1,0,0,359,157,17m 3s,0m 0s,0,0,0,4147,1550,0,1,1,0,0,0,733
12,ST. CLAIR,3,557334029,mmSTARLIGHT,0,0,46,0,0,0,0,194,0,14m 15s,0m 0s,0,0,0,4252,1634,0,1,0,0,0,0,733
9,ARKANSAS STATE,4,5391813845,CSyychauchau,0,2,550,265,2,4,1,400,200,19m 49s,6m 2s,98,0,0,8259,2100,1,1,7,0,0,1,2016
9,ARKANSAS STATE,4,5343743089,CSgreenūū,0,6,737,159,0,6,0,403,440,21m 12s,5m 33s,256,0,0,7815,1497,0,3,4,0,0,0,2016
9,ARKANSAS STATE,4,5701795437,CSokaybutwhy,0,2,462,178,3,1,0,323,358,20m 55s,5m 37s,220,0,0,10181,1986,0,1,4,0,0,0,2016
9,ARKANSAS STATE,4,5491206967,CSdelulu,0,1,267,83,1,1,0,331,306,11m 58s,7m 4s,341,0,0,6384,936,1,0,0,0,0,0,2016
8,VICTORIA,5,51401957907,hznTIZ1,0,0,104,0,0,0,0,298,2,20m 54s,0m 0s,0,0,0,4890,1750,0,0,0,0,0,0,874
8,VICTORIA,5,5962650460,hznHIM,0,0,345,0,1,1,0,312,42,14m 41s,0m 8s,45,0,0,4529,1155,0,2,0,0,0,0,874
8,VICTORIA,5,52148159301,hznHope,0,2,331,202,0,2,1,393,0,14m 26s,0m 0s,0,0,0,3644,1648,0,0,1,0,0,0,874
8,VICTORIA,5,51851703852,hznToxic99,0,0,94,0,0,0,0,423,45,14m 10s,0m 0s,0,0,0,6370,1089,0,1,0,0,0,0,874
3,SENECA,6,61928520966,entityHuNTeR,0,2,501,74,0,3,0,316,124,19m 56s,0m 10s,8,0,0,9054,1364,1,1,2,0,0,0,1136
3,SENECA,6,51930276599,entityNeXusOp,0,1,190,44,0,1,0,403,76,19m 37s,0m 54s,0,0,1,8157,1464,0,0,3,0,0,0,1136
3,SENECA,6,5500811234,entityPSYCHOOO,0,0,201,0,0,1,0,507,128,20m 24s,1m 1s,51,0,0,8487,1289,0,0,0,0,0,0,1136
3,SENECA,6,51858463424,entityACEop,0,0,244,0,1,1,0,365,61,17m 5s,0m 58s,48,0,0,6733,1204,0,0,0,0,0,0,1136
6,ST. CLAIR,7,51800932898,STGxSRAN,0,0,353,0,0,3,0,161,308,20m 12s,2m 33s,198,0,0,9533,1092,0,1,0,1,0,0,1725
6,ST. CLAIR,7,51927974692,STGxSILENt,0,1,347,2,2,1,0,516,157,20m 17s,0m 0s,0,0,0,2752,1141,1,1,0,0,0,1,1725
6,ST. CLAIR,7,51790466255,STGxToxicMAHAL,0,3,607,16,1,3,0,301,214,12m 38s,1m 25s,290,0,0,2146,1180,1,1,1,0,0,0,1725
6,ST. CLAIR,7,51459361485,STGxGUNDA,0,3,418,25,0,3,0,380,268,12m 19s,1m 9s,227,0,1,515,990,1,1,1,0,0,0,1725
18,ELMHURST,8,5175180093,VKSluchi,0,0,0,0,0,0,0,93,136,17m 57s,1m 14s,88,0,0,6078,1600,2,4,2,0,0,0,267
18,ELMHURST,8,5620027334,VKSjunkey,0,0,25,0,1,0,0,296,356,17m 55s,1m 8s,135,0,0,9031,1529,0,4,3,0,0,0,267
18,ELMHURST,8,5999208793,VKSrooKieduu,0,1,169,80,0,1,0,245,314,17m 54s,0m 51s,165,0,0,5872,1408,0,3,0,0,0,0,267
18,ELMHURST,8,5167590205,VKSdellûsioñ,0,0,73,0,1,0,0,155,235,14m 7s,4m 23s,259,0,0,5496,1417,0,0,0,0,0,0,267
16,RED RIVER,9,5711081303,rrcHDEM,0,3,569,245,1,4,0,465,324,17m 48s,1m 24s,148,0,0,3815,1758,1,1,6,1,0,0,2952
16,RED RIVER,9,51501375897,rrclabour,0,7,1321,89,2,9,0,689,316,13m 23s,1m 15s,28,0,0,3369,1692,0,0,3,2,0,0,2952
16,RED RIVER,9,51820667083,rrcMECHANIC,0,2,196,229,0,1,0,177,235,13m 53s,5m 14s,193,0,0,6974,963,1,0,2,0,0,0,2952
16,RED RIVER,9,52019475313,rrcMANAGEMENT,0,4,866,95,4,5,1,435,53,12m 13s,1m 10s,9,0,0,2883,1903,3,3,1,0,0,0,2952
4,CANADA WEST,10,5204630973,FGxDRANGOO,0,1,296,17,1,1,0,278,149,14m 37s,2m 5s,169,0,0,7383,1712,0,0,0,0,0,0,907
4,CANADA WEST,10,5129309713,FGxVICIOUSS,0,3,376,10,0,3,0,221,593,15m 2s,5m 31s,556,0,0,9136,1543,0,0,0,0,0,0,907
4,CANADA WEST,10,5786641758,FGxONeHIT,0,1,235,8,1,1,0,408,357,10m 46s,3m 28s,340,0,0,6817,1001,0,1,0,0,0,0,907
15,ALABAMA,11,5733386408,supYum,0,7,802,96,1,6,1,321,500,15m 47s,6m 20s,319,0,0,4922,1451,2,2,3,0,0,0,1249
15,ALABAMA,11,5792314147,supHoxy,0,1,347,43,1,2,0,328,240,14m 34s,5m 18s,192,0,0,5259,1786,2,4,5,1,0,0,1249
15,ALABAMA,11,52070861131,supTai,0,1,100,17,1,1,0,401,576,15m 7s,6m 16s,333,0,0,6406,1390,0,1,0,0,0,0,1249
17,NORTHERN ARIZONA,12,570104103,FSxHarley,0,1,409,18,0,1,1,400,317,15m 12s,2m 14s,201,0,0,1922,1611,1,1,5,0,0,0,1504
17,NORTHERN ARIZONA,12,5105488078,FSxCake,0,3,569,35,1,4,2,539,401,14m 51s,2m 14s,309,0,0,4078,1862,0,1,1,0,0,0,1504
17,NORTHERN ARIZONA,12,5447634540,FSxChaRUNN,0,1,184,69,0,1,0,395,186,12m 37s,2m 14s,186,0,0,4173,922,0,0,0,0,0,0,1504
17,NORTHERN ARIZONA,12,51929840226,FSxVamsi,0,2,342,10,0,2,0,407,198,11m 35s,1m 30s,132,0,0,6880,938,0,0,2,0,0,0,1504
14,MIDDLESEX COUNTY,13,578726132,mYmīKrish,0,4,443,51,0,4,2,293,271,10m 8s,5m 24s,276,0,0,5142,964,0,0,2,0,0,0,1364
14,MIDDLESEX COUNTY,13,5395151453,mYmīBURPY,0,0,241,0,3,0,0,263,219,10m 3s,5m 24s,236,0,0,370,929,1,0,1,1,0,0,1364
14,MIDDLESEX COUNTY,13,5338164941,mYmĪLEXUS,0,2,588,44,1,2,0,396,349,12m 58s,4m 55s,258,0,0,5410,887,0,3,1,0,0,0,1364
14,MIDDLESEX COUNTY,13,51596481238,mYmīPashaBAE,0,0,92,0,1,0,0,170,321,12m 10s,6m 57s,331,0,0,7019,1371,0,0,0,0,0,0,1364
13,ALGOMA,14,513304128,oxySPOWER,0,1,208,278,0,2,0,335,61,12m 9s,0m 25s,24,0,0,201,2068,0,0,0,0,0,0,667
13,ALGOMA,14,5642896536,oxyGOBLIN,0,1,338,25,1,1,0,385,59,11m 48s,0m 0s,0,0,0,2590,1864,0,0,0,0,0,0,667
