"TeamID","Nombre del Equipo","Rango","uId","Nombre del Jugador","Salud","Número de Bajas","Daño","Máxima Distancia de Baja","Asistencias","Noqueos","Número de Headshots","Daño Recibido","Curación","Tiempo de Supervivencia","Tiempo Fuera del Círculo Azul","Daño Total por Veneno","Bajas en Vehículo","Bajas con Granada","Distancia Conducida","Distancia Recorrida","Rescates","Granadas de Humo Usadas","Granadas Fragmentación Usadas","Granadas Incendiarias Usadas","Granadas Cegadoras Usadas","Suministros Obtenidos","Daño Total por Equipo"
18,VANCOUVER CC,1,579777070,AMGxDefender,73,5,802,150,4,2,0,330,329,28m 15s,0m 0s,0,0,0,6138,2651,1,10,6,0,0,1,3287
18,VANCOUVER CC,1,51859584757,AMGxNMBRDAR,10,5,760,265,1,6,2,93,66,28m 13s,0m 5s,70,0,0,7443,2133,0,2,4,0,0,0,3287
18,VANCOUVER CC,1,5419937355,AMGxG0D,95,7,1338,233,6,5,2,371,365,27m 54s,0m 0s,0,0,0,6691,3344,1,8,3,1,0,0,3287
18,VANCOUVER CC,1,5162313469,AMGxSINNER,100,4,387,91,1,4,1,440,252,19m 49s,0m 0s,0,0,1,8177,1735,0,0,6,0,0,0,3287
10,COQUITLAM,2,5165675957,AESenpai21Gr8,0,2,605,9,0,1,0,217,235,28m 3s,2m 46s,127,0,1,4201,2375,0,2,6,1,1,0,1298
10,COQUITLAM,2,51507682748,AEYungBoii,0,0,387,0,1,2,0,121,203,28m 17s,2m 43s,180,0,0,2700,2669,1,2,3,0,0,0,1298
10,COQUITLAM,2,5530063742,AEShikari,0,0,96,0,0,1,0,190,185,22m 50s,3m 27s,161,0,0,4684,1625,0,0,1,0,0,0,1298
10,COQUITLAM,2,5186607517,AEZinXū77k,0,2,210,156,0,1,0,243,194,20m 11s,3m 11s,148,0,0,5568,2213,0,0,0,0,0,0,1298
8,PORTAGE,3,5136146053,YICūARESū,0,1,254,1,0,2,1,100,53,28m 15s,0m 53s,48,0,0,7013,2020,1,7,1,1,0,0,552
8,PORTAGE,3,51495692309,YICŪHARMAN,0,2,156,105,0,1,1,331,264,28m 14s,0m 52s,48,0,0,5806,2237,0,2,0,0,0,0,552
8,PORTAGE,3,540746265,YICūFAMOUS,0,0,142,0,0,0,0,257,141,27m 55s,1m 51s,78,0,0,5928,2185,1,11,4,0,0,0,552
8,PORTAGE,3,5328803502,YICŪCRIMINAL,0,0,0,0,0,0,0,197,0,3m 27s,0m 0s,0,0,0,0,518,0,0,0,0,0,0,552
5,MIDDLESEX COUNTY,4,5732905552,4KxEMAAN,0,0,211,0,0,1,0,389,287,25m 9s,0m 11s,7,0,0,5789,2706,0,4,3,0,0,0,1123
5,MIDDLESEX COUNTY,4,5184875975,4KxAlpacino,0,3,617,261,1,2,2,362,301,25m 10s,0m 48s,44,0,0,6042,1785,1,3,0,0,0,0,1123
5,MIDDLESEX COUNTY,4,5105162305,4KxNOBI,0,1,230,3,1,1,0,357,249,24m 58s,1m 3s,41,1,0,5156,1814,1,0,1,0,0,0,1123
5,MIDDLESEX COUNTY,4,5304155522,4KxSPEAR,0,0,65,0,0,1,0,266,175,19m 49s,2m 1s,77,0,0,5611,2087,1,4,0,0,0,0,1123
7,SENECA (A),5,569819071,ZnGPunk,0,1,97,2,0,0,1,192,269,24m 49s,4m 6s,174,0,0,10439,1133,0,6,0,0,0,0,213
