"TeamID","Nombre del Equipo","Rango","uId","Nombre del Jugador","Salud","Número de Bajas","Daño","Máxima Distancia de Baja","Asistencias","Noqueos","Número de Headshots","Daño Recibido","Curación","Tiempo de Supervivencia","Tiempo Fuera del Círculo Azul","Daño Total por Veneno","Bajas en Vehículo","Bajas con Granada","Distancia Conducida","Distancia Recorrida","Rescates","Granadas de Humo Usadas","Granadas Fragmentación Usadas","Granadas Incendiarias Usadas","Granadas Cegadoras Usadas","Suministros Obtenidos","Daño Total por Equipo"
6,SENECA (B),1,5253994440,KPRBlinkX,98,2,212,53,1,0,0,181,179,28m 40s,0m 0s,0,0,0,3789,2725,1,2,1,0,0,0,930
6,SENECA (B),1,5511811942,KPRInsanE,100,0,74,0,0,0,0,125,125,28m 26s,0m 0s,0,0,0,4811,2470,0,2,1,1,0,0,930
6,SENECA (B),1,51288560221,KPRūDonG,100,2,231,53,2,2,1,168,158,28m 19s,0m 0s,0,0,1,5115,1918,0,2,1,0,0,1,930
6,SENECA (B),1,5439446168,KPRLaw13,100,1,413,329,0,0,0,356,178,22m 30s,0m 1s,16,0,0,3383,2243,0,0,0,0,0,0,930
7,SENECA (A),2,569819071,ZnGPunk,0,3,743,63,2,3,1,52,302,28m 2s,5m 48s,347,0,0,8396,2511,0,4,0,0,0,0,2156
7,SENECA (A),2,5993606908,ZnGJesterX,0,2,498,42,1,0,0,277,472,28m 7s,5m 51s,334,0,0,9214,1884,0,3,2,3,0,0,2156
7,SENECA (A),2,5307780671,ZnGFury,0,1,441,36,3,2,1,170,301,27m 29s,5m 44s,298,0,0,8799,1968,1,2,2,1,0,0,2156
7,SENECA (A),2,5777220863,ZnGCipherzxy21,0,3,474,260,0,3,1,365,445,27m 15s,6m 0s,285,0,0,7522,2696,1,2,1,0,0,0,2156
11,CANADA WEST,3,5786641758,FGxONeHIT,0,1,334,8,4,0,0,41,82,28m 22s,0m 5s,122,0,0,1489,3136,3,6,3,1,0,0,1675
11,CANADA WEST,3,5129309713,FGxVICIOUSS,0,2,240,89,3,2,0,327,210,28m 8s,0m 1s,36,0,0,4976,2502,0,2,1,1,0,0,1675
11,CANADA WEST,3,5119869770,FGxENFOLD,0,8,1012,214,1,7,3,363,156,27m 33s,0m 0s,0,0,0,3795,2738,0,3,3,0,0,0,1675
11,CANADA WEST,3,5204630973,FGxDRANGOO,0,0,89,0,1,0,0,261,69,18m 40s,0m 0s,0,0,0,3037,2204,0,1,0,0,0,0,1675
8,PORTAGE,4,5328803502,YICŪCRIMINAL,0,3,351,292,0,1,0,307,289,27m 39s,0m 53s,92,0,0,2530,2809,1,2,3,1,0,0,1386
8,PORTAGE,4,51495692309,YICŪHARMAN,0,0,521,0,1,1,0,269,232,27m 34s,0m 53s,127,0,0,3070,3708,2,2,1,0,0,0,1386
8,PORTAGE,4,5136146053,YICūARESū,0,1,514,4,0,3,0,349,245,27m 24s,1m 32s,76,0,0,4448,2346,0,6,4,0,0,0,1386
8,PORTAGE,4,540746265,YICūFAMOUS,0,0,0,0,0,0,0,168,64,10m 34s,1m 18s,76,0,0,4285,1119,0,0,0,0,0,0,1386
