"TeamID","Nombre del Equipo","Rango","uId","Nombre del Jugador","Salud","Número de Bajas","Daño","Máxima Distancia de Baja","Asistencias","Noqueos","Número de Headshots","Daño Recibido","Curación","Tiempo de Supervivencia","Tiempo Fuera del Círculo Azul","Daño Total por Veneno","Bajas en Vehículo","Bajas con Granada","Distancia Conducida","Distancia Recorrida","Rescates","Granadas de Humo Usadas","Granadas Fragmentación Usadas","Granadas Incendiarias Usadas","Granadas Cegadoras Usadas","Suministros Obtenidos","Daño Total por Equipo"
15,RED RIVER,1,51501375897,rrcMANAGEMENT,87,6,1144,248,5,6,3,321,302,21m 10s,0m 0s,4,0,0,1376,3624,1,1,3,2,0,0,2916
15,RED RIVER,1,5711081303,rrcHDEM,93,6,427,220,4,3,1,212,195,21m 7s,0m 0s,0,0,1,2164,3272,2,2,3,0,0,0,2916
15,RED RIVER,1,51820667083,rrcMECHANIC,67,8,874,189,4,4,1,283,207,21m 2s,0m 0s,0,0,0,1641,3345,2,5,4,0,0,0,2916
15,RED RIVER,1,52019475313,rrcLABOUR,26,5,471,150,3,4,1,193,207,21m 4s,0m 23s,152,0,0,1789,3117,0,1,0,2,0,0,2916
5,MIDDLESEX COUNTY,2,5184875975,4KxAlpacino,0,0,297,0,0,0,0,240,155,21m 7s,0m 1s,11,0,0,1564,1928,2,4,1,0,0,0,814
5,MIDDLESEX COUNTY,2,5304155522,4KxSPEAR,0,2,289,83,0,1,1,312,121,21m 6s,0m 1s,22,0,0,614,2979,1,4,0,0,0,0,814
5,MIDDLESEX COUNTY,2,5732905552,4KxEMAAN,0,0,185,0,1,0,0,244,68,18m 38s,0m 0s,0,0,0,329,3143,0,0,0,0,0,0,814
5,MIDDLESEX COUNTY,2,5105162305,4KxNOBI,0,0,43,0,0,0,0,197,0,15m 6s,0m 0s,0,0,0,2995,1865,0,0,1,0,0,0,814
8,PORTAGE,3,5328803502,YICŪCRIMINAL,0,0,152,0,0,0,0,44,0,20m 53s,0m 4s,56,0,0,2689,1637,1,0,2,0,0,0,995
8,PORTAGE,3,51495692309,YICŪHARMAN,0,0,169,0,0,1,0,268,181,20m 46s,0m 0s,0,0,0,5829,1982,0,1,1,0,0,0,995
8,PORTAGE,3,540746265,YICūFAMOUS,0,1,407,169,0,2,0,170,30,20m 42s,0m 0s,0,0,0,6288,1486,0,2,0,0,0,0,995
8,PORTAGE,3,5136146053,YICūARESū,0,0,267,0,0,0,0,186,11,20m 34s,0m 0s,0,0,0,6061,1648,0,0,3,0,0,1,995
11,CANADA WEST,4,5786641758,FGxONeHIT,0,0,434,0,1,2,0,133,160,21m 7s,1m 14s,126,0,0,3170,2801,0,2,0,1,0,0,965
11,CANADA WEST,4,5129309713,FGxVICIOUSS,0,1,188,7,0,1,1,230,212,21m 6s,1m 5s,107,0,0,4840,1819,0,3,3,1,0,0,965
11,CANADA WEST,4,5204630973,FGxDRANGOO,0,0,76,0,1,0,0,160,35,18m 13s,0m 29s,35,0,0,6019,2235,0,0,0,0,0,0,965
11,CANADA WEST,4,5119869770,FGxENFOLD,0,3,267,42,0,2,1,264,192,15m 3s,1m 3s,103,0,0,3858,2538,0,0,1,0,0,0,965
14,MIDDLESEX COUNTY,5,5395151453,mYmīBURPY,0,0,105,0,0,0,0,175,88,18m 47s,0m 2s,13,0,0,3993,2542,0,0,0,0,0,0,479
