"TeamID","Nombre del Equipo","Rango","uId","Nombre del Jugador","Salud","Número de Bajas","Daño","Máxima Distancia de Baja","Asistencias","Noqueos","Número de Headshots","Daño Recibido","Curación","Tiempo de Supervivencia","Tiempo Fuera del Círculo Azul","Daño Total por Veneno","Bajas en Vehículo","Bajas con Granada","Distancia Conducida","Distancia Recorrida","Rescates","Granadas de Humo Usadas","Granadas Fragmentación Usadas","Granadas Incendiarias Usadas","Granadas Cegadoras Usadas","Suministros Obtenidos","Daño Total por Equipo"
12,KENT STATE,1,5484235848,R2DxRUTHLeSS,75,5,539,41,1,3,0,424,447,30m 3s,0m 34s,39,0,1,12974,2213,1,4,2,2,0,0,2727
12,KENT STATE,1,5211194953,R2DxTHOR,100,2,872,185,5,3,2,380,317,29m 28s,3m 46s,163,0,0,7636,3438,1,5,4,2,2,0,2727
12,KENT STATE,1,5737152278,R2DxJason,100,6,875,217,1,5,3,373,181,19m 50s,0m 34s,0,0,0,7757,1870,0,3,0,0,0,0,2727
12,KENT STATE,1,51230355420,R2DxNINJAop,100,1,441,24,4,2,0,343,154,19m 7s,0m 3s,9,0,0,11455,1684,0,5,1,0,0,0,2727
18,VANCOUVER CC,2,579777070,AMGxDefender,0,3,546,71,3,3,0,576,447,29m 8s,0m 0s,0,0,0,3935,2272,4,7,9,2,0,1,2743
18,VANCOUVER CC,2,51859584757,AMGxNMBRDAR,0,1,535,125,5,3,0,593,359,29m 6s,0m 0s,0,0,0,3368,2808,1,10,8,2,0,0,2743
18,VANCOUVER CC,2,5162313469,AMGxSINNER,0,7,664,52,0,3,1,759,377,19m 48s,0m 0s,0,0,1,4116,2132,2,0,3,0,0,0,2743
18,VANCOUVER CC,2,5419937355,AMGxG0D,0,5,998,7,2,5,1,531,133,17m 49s,0m 0s,0,0,0,3961,2196,2,5,3,1,0,0,2743
7,SENECA (A),3,5307780671,ZnGFury,0,0,168,0,0,1,0,138,379,28m 46s,7m 19s,341,0,0,10861,2432,0,5,3,1,0,0,1316
7,SENECA (A),3,5777220863,ZnGCipherzxy21,0,3,693,130,1,3,0,286,160,27m 48s,2m 36s,64,0,0,6672,2645,2,7,3,0,1,1,1316
7,SENECA (A),3,569819071,ZnGPunk,0,1,233,115,1,0,0,558,431,25m 55s,7m 17s,339,0,0,8735,2359,1,2,0,0,0,0,1316
7,SENECA (A),3,5993606908,ZnGJesterX,0,1,222,34,1,1,1,386,311,20m 52s,5m 48s,283,0,0,7225,1410,0,1,1,0,0,0,1316
4,SOUTHEASTERN LOUISIANA,4,5231181629,ＳＡＨＵŲ,0,6,981,84,0,6,1,317,220,20m 49s,0m 0s,0,0,0,2476,2992,0,0,0,1,0,0,1846
4,SOUTHEASTERN LOUISIANA,4,5251339892,H٭GODLESS,0,2,501,56,0,3,0,349,61,15m 23s,0m 0s,0,0,0,3265,1613,0,0,0,0,0,0,1846
4,SOUTHEASTERN LOUISIANA,4,5423468662,H٭SpydyYT,0,1,298,12,0,2,0,337,0,8m 15s,0m 0s,0,0,0,3150,1158,0,0,1,0,0,0,1846
4,SOUTHEASTERN LOUISIANA,4,5413602764,H٭・NOMERCY,0,0,66,0,0,0,0,373,0,7m 0s,0m 0s,0,0,0,1746,1111,0,0,0,0,0,0,1846
11,CANADA WEST,5,5204630973,FGxDRANGOO,0,0,413,0,1,2,0,211,118,19m 42s,0m 13s,5,0,0,7222,1778,1,5,6,2,0,1,1608
11,CANADA WEST,5,5786641758,FGxONeHIT,0,3,553,105,1,4,1,268,164,19m 34s,1m 0s,62,0,0,7691,2296,1,6,5,0,0,0,1608
11,CANADA WEST,5,5119869770,FGxENFOLD,0,2,249,100,4,1,0,327,203,18m 41s,0m 18s,0,0,0,10034,1469,0,3,0,0,0,0,1608
11,CANADA WEST,5,5129309713,FGxVICIOUSS,0,2,393,139,2,2,1,207,147,17m 20s,1m 0s,124,0,0,9439,1627,1,4,0,0,0,0,1608
14,MIDDLESEX COUNTY (B),6,5395151453,mYmīBURPY,0,5,691,268,0,5,1,447,367,17m 14s,1m 42s,160,0,0,8259,1234,0,1,2,0,0,0,1423
14,MIDDLESEX COUNTY (B),6,51596481238,mYmīPashaBAE,0,1,447,4,0,2,1,289,210,16m 28s,1m 45s,167,0,0,6689,1892,0,0,2,0,0,0,1423
14,MIDDLESEX COUNTY (B),6,578726132,mYmīKrish,0,0,23,0,1,0,0,387,33,9m 58s,0m 31s,27,0,0,7026,723,0,0,0,0,0,0,1423
14,MIDDLESEX COUNTY (B),6,5338164941,mYmĪLEXUS,0,1,262,0,2,1,0,454,88,8m 16s,0m 20s,12,0,0,5102,679,0,0,0,1,0,0,1423
15,RED RIVER,7,51501375897,rrcMANAGEMENT,0,3,439,278,0,3,1,99,77,17m 45s,1m 39s,70,0,0,10690,1158,2,0,2,0,0,0,2005
15,RED RIVER,7,52019475313,rrcLABOUR,0,4,817,93,3,4,0,371,212,15m 9s,1m 40s,125,0,1,5483,2117,0,1,1,0,0,0,2005
15,RED RIVER,7,5711081303,rrcHDEM,0,3,303,195,0,3,1,205,180,17m 34s,3m 0s,167,0,0,5551,1801,0,0,2,0,0,0,2005
15,RED RIVER,7,51820667083,rrcMECHANIC,0,1,446,214,2,3,0,297,116,17m 8s,1m 47s,25,0,0,5974,2115,0,0,0,0,0,0,2005
3,ITSV,8,5329848622,gaKAAIL,0,0,18,0,0,0,0,196,229,14m 54s,4m 30s,331,0,0,5392,2123,0,0,0,0,0,0,39
3,ITSV,8,563936593,gaHumble,0,0,21,0,0,0,0,389,216,14m 12s,4m 26s,216,0,0,3139,1223,0,0,2,0,0,0,39
3,ITSV,8,5203882505,gaRALO,0,0,0,0,0,0,0,274,63,7m 41s,1m 44s,82,0,0,1199,912,0,0,0,0,0,0,39
3,ITSV,8,5834819084,ㅤgaJeremy,0,0,0,0,0,0,0,274,53,9m 12s,1m 44s,76,0,0,4025,1234,0,1,0,0,0,0,39
5,MIDDLESEX COUNTY (A),9,5184875975,4KxAlpacino,0,1,167,107,0,2,0,316,305,14m 12s,4m 0s,214,0,0,9945,980,0,0,0,0,0,0,945
5,MIDDLESEX COUNTY (A),9,5732905552,4KxEMAAN,0,1,261,109,1,1,0,181,129,15m 32s,2m 36s,71,0,0,8267,1517,0,3,0,0,0,0,945
5,MIDDLESEX COUNTY (A),9,5304155522,4KxSPEAR,0,1,162,72,0,1,0,314,183,14m 30s,3m 17s,184,0,0,9657,759,1,0,0,0,0,0,945
5,MIDDLESEX COUNTY (A),9,5105162305,4KxNOBI,0,2,355,160,2,2,0,270,145,14m 59s,0m 32s,0,0,0,8891,1805,0,0,1,0,0,0,945
13,ARKANSAS STATE,10,5391813845,CSyychauchau,0,2,88,38,0,1,0,203,310,13m 53s,7m 32s,324,0,1,7375,1231,0,0,6,1,0,0,457
